path,collection,edition,series,filename
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/05-Harlingen-2.jpg,waterstaatskaarten,1e,eerste-editie,05-Harlingen-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/05-Harlingen-3.jpg,waterstaatskaarten,1e,eerste-editie,05-Harlingen-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/06-Leeuwarden-1.jpg,waterstaatskaarten,1e,eerste-editie,06-Leeuwarden-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/06-Leeuwarden-2.jpg,waterstaatskaarten,1e,eerste-editie,06-Leeuwarden-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/06-Leeuwarden-3.jpg,waterstaatskaarten,1e,eerste-editie,06-Leeuwarden-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/06-Leeuwarden-4.jpg,waterstaatskaarten,1e,eerste-editie,06-Leeuwarden-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/07-Groningen-1.jpg,waterstaatskaarten,1e,eerste-editie,07-Groningen-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/07-Groningen-2.jpg,waterstaatskaarten,1e,eerste-editie,07-Groningen-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/07-Groningen-3.jpg,waterstaatskaarten,1e,eerste-editie,07-Groningen-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/07-Groningen-4.jpg,waterstaatskaarten,1e,eerste-editie,07-Groningen-4
